"fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
9,0,5381.99593098958,146402.51807997,3648.66259765625,2346.96252441406,6,"JUNB","0"
9,0,5416.43343098958,146410.630506727,3683.10009765625,2355.07495117188,6,"CEACAM1","0"
9,0,5440.35335286458,146414.555555556,3707.02001953125,2359,6,"IL36G","0"
9,0,5427.11653645833,146349.605482313,3693.783203125,2294.04992675781,6,"IFI27","0"
9,0,5367.18318684896,146416.505506727,3633.84985351562,2360.94995117188,6,"SLPI","Membrane"
9,0,5616.73323567708,146557.030531141,3883.39990234375,2501.47497558594,6,"PTK2","0"
9,0,5366.03352864583,146440.230604384,3632.7001953125,2384.67504882812,6,"GPX1","0"
9,0,5416.45833333333,146391.480604384,3683.125,2335.92504882812,6,"IL1RN","0"
9,0,5309.40486653646,146633.812757704,3576.07153320312,2578.25720214844,6,"MZT2A","Membrane"
9,0,5426.99348958333,146479.655531141,3693.66015625,2424.09997558594,6,"HLA-C","Membrane"
9,0,5175.73323567708,146200.665662977,3442.39990234375,2145.11010742188,6,"IGFBP5","Nuclear"
9,0,5437.28352864583,146391.188978407,3703.9501953125,2335.63342285156,6,"CD68","0"
9,0,5212.30843098958,146554.705457899,3478.97509765625,2499.14990234375,6,"RXRB","0"
9,0,5365.35335286458,146397.595472548,3632.02001953125,2342.03991699219,6,"LMNA","0"
9,0,5346.28352864583,146196.322279188,3612.9501953125,2140.76672363281,6,"ANGPT2","0"
9,0,5629.73347981771,146538.355604384,3896.40014648438,2482.80004882812,6,"ARF1","Nuclear"
9,0,5364.42220052083,146500.288953993,3631.0888671875,2444.7333984375,6,"ADGRG1","0"
9,0,5433.73323567708,146359.155531141,3700.39990234375,2303.59997558594,6,"WIF1","0"
9,0,5192.03352864583,146568.743055556,3458.7001953125,2513.1875,6,"JAG1","0"
9,0,5541.15828450521,146590.405653212,3807.82495117188,2534.85009765625,6,"NEAT1","Nuclear"
9,0,5363.98323567708,146439.305555556,3630.64990234375,2383.75,6,"S100A9","0"
9,0,5445.63338216146,146456.695570204,3712.30004882812,2401.14001464844,6,"BMP5","0"
9,0,5406.13338216146,146509.715467665,3672.80004882812,2454.15991210938,6,"MIF","Membrane"
9,0,5478.84749348958,146408.584120009,3745.51416015625,2353.02856445312,6,"SLPI","0"
9,0,5417.09358723958,146340.115492079,3683.76025390625,2284.55993652344,6,"CD81","Membrane"
9,0,5523.39339192708,146582.435682509,3790.06005859375,2526.88012695312,6,"ETV4","0"
9,0,5457.38338216146,146532.605482313,3724.05004882812,2477.04992675781,6,"MAF","0"
9,0,5433.07600911458,146336.86988661,3699.74267578125,2281.31433105469,6,"ACKR3","0"
9,0,5315.75813802083,146630.980604384,3582.4248046875,2575.42504882812,6,"KRT14","Membrane"
9,0,5377.82112630208,146290.493055556,3644.48779296875,2234.9375,6,"S100A4","0"
9,0,5384.38850911458,146328.333387587,3651.05517578125,2272.77783203125,6,"S100A4","0"
9,0,5357.84773763021,146185.212782118,3624.51440429688,2129.6572265625,6,"NR1H4","0"
9,0,5303.39046223958,146632.169813368,3570.05712890625,2576.6142578125,6,"SPRY4","0"
9,0,5505.54744466146,146576.712782118,3772.21411132812,2521.1572265625,6,"HLA-B","0"
9,0,5302.28328450521,146626.138929579,3568.94995117188,2570.58337402344,6,"AKT1","0"
9,0,5297.89046223958,146061.069959852,3564.55712890625,2005.51440429688,6,"SOX4","0"
9,0,5378.45027669271,146387.755628798,3645.11694335938,2332.20007324219,6,"LGALS3BP","Membrane"
9,0,5392.61897786458,146327.726820204,3659.28564453125,2272.17126464844,6,"HLA-E","0"
9,0,5455.85335286458,146409.255628798,3722.52001953125,2353.70007324219,6,"LCN2","0"
