"fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
11,0,16360.1578777778,146471.915555556,3682.3801,2416.36,-1,"AREG","Membrane"
11,0,16142.4064777778,146117.012755556,3464.6287,2061.4572,-1,"HLA-B","0"
11,0,16094.3175777778,146454.855555556,3416.5398,2399.3,-1,"KLRK1","Membrane"
11,0,16630.1778777778,146495.700055556,3952.4001,2440.1445,-1,"CFLAR","0"
11,0,16631.2030777778,146490.855555556,3953.4253,2435.3,-1,"EPHB2","0"
11,0,16618.5902777778,146507.668055556,3940.8125,2452.1125,-1,"STAT4","Membrane"
11,0,16094.4779777778,146527.905555556,3416.7002,2472.35,-1,"CCL20","0"
11,0,16088.7777777778,146430.115455556,3411,2374.5599,-1,"PRSS2","0"
11,0,16624.5777777778,146492.805555556,3946.8,2437.25,-1,"MZT2A","0"
11,0,16185.2403777778,146058.243055556,3507.4626,2002.6875,-1,"IL11RA","0"
11,0,16630.4061777778,146488.684255556,3952.6284,2433.1287,-1,"ITGAL","0"
11,0,16608.7552777778,146480.311055556,3930.9775,2424.7555,-1,"KRT6A","0"
11,0,16168.733344184,146229.910902235,3490.95556640625,2174.35534667969,3,"OLR1","0"
11,0,16354.940375434,146438.605604384,3677.16259765625,2383.05004882812,3,"PDGFC","0"
11,0,16201.200141059,146266.944593641,3523.42236328125,2211.38903808594,3,"FFAR2","0"
11,0,16134.6447211372,146214.52223036,3456.86694335938,2158.96667480469,3,"CD3D","0"
11,0,16459.815375434,146295.51807997,3782.03759765625,2239.96252441406,3,"SLPI","0"
11,0,16361.1779242622,146479.872205946,3683.40014648438,2424.31665039062,3,"IGFBP5","0"
11,0,16197.957953559,146267.29542372,3520.18017578125,2211.73986816406,3,"FYN","0"
11,0,16663.3363715278,146616.463758681,3985.55859375,2560.908203125,3,"NGFR","0"
11,0,16502.6176215278,146072.065565321,3824.83984375,2016.51000976562,3,"IGKC","Membrane"
11,0,16448.4708930122,146273.788831923,3770.69311523438,2218.23327636719,3,"HLA-C","0"
11,0,16336.7553168403,146540.255628798,3658.9775390625,2484.70007324219,3,"COL1A1","Membrane"
11,0,16344.4064398872,146522.191297743,3666.62866210938,2466.6357421875,3,"EPOR","0"
11,0,16253.1491156684,146445.984022352,3575.37133789062,2390.42846679688,3,"IFNAR2","0"
11,0,16411.0680609809,146565.535536024,3733.29028320312,2509.97998046875,3,"LGALS1","0"
11,0,16369.0944281684,146427.938856337,3691.31665039062,2372.38330078125,3,"PROK2","0"
11,0,16354.7374945747,146428.835584852,3676.95971679688,2373.28002929688,3,"FN1","0"
11,0,16606.8634711372,146590.755506727,3929.08569335938,2535.19995117188,3,"AZU1","0"
11,0,16517.9611273872,146082.322157118,3840.18334960938,2026.7666015625,3,"EPHB3","Nuclear"
11,0,16376.6776801215,146625.20557997,3698.89990234375,2569.65002441406,3,"PSAP","0"
11,0,16620.252875434,146110.955457899,3942.47509765625,2055.39990234375,3,"RGS2","0"
11,0,16393.1349555122,146264.841322157,3715.35717773438,2209.28576660156,3,"KRT20","0"
11,0,16251.8578559028,146429.595472548,3574.080078125,2374.03991699219,3,"COL1A1","0"
11,0,16432.752875434,146615.45557997,3754.97509765625,2559.90002441406,3,"NegPrb14","0"
11,0,16534.5277777778,146499.780531141,3856.75,2444.22497558594,3,"SAA1","0"
11,0,16305.2062445747,146599.698499891,3627.42846679688,2544.14294433594,3,"NPPC","0"
11,0,16180.6176215278,146590.415540907,3502.83984375,2534.85998535156,3,"TAGLN","0"
11,0,16635.2443305122,146487.472181532,3957.46655273438,2431.91662597656,3,"COL4A2","Membrane"
11,0,16469.2277289497,146454.538953993,3791.44995117188,2398.9833984375,3,"MXRA8","0"
11,0,16325.7374945747,146202.215467665,3647.95971679688,2146.65991210938,3,"NLRP2","Membrane"
11,0,16379.0363226997,146318.230726454,3701.25854492188,2262.67517089844,3,"COL1A2","0"
11,0,16303.4777289497,146177.712660048,3625.69995117188,2122.15710449219,3,"ANGPT4","0"
11,0,16352.993109809,146235.586317274,3675.21533203125,2180.03076171875,3,"GPX1","0"
11,0,16357.8278266059,146498.680555556,3680.05004882812,2443.125,3,"CHEK2","Membrane"
11,0,16622.752875434,146623.055555556,3944.97509765625,2567.5,3,"ANXA2","0"
11,0,16477.047797309,146451.04554579,3799.27001953125,2395.48999023438,3,"COL14A1","0"
11,0,16385.2221137153,146575.16663954,3707.4443359375,2519.61108398438,3,"ERBB2","0"
11,0,16188.0277777778,146255.488783095,3510.25,2199.93322753906,3,"RARG","0"
11,0,16253.9276801215,146431.680555556,3576.14990234375,2376.125,3,"COL1A1","0"
11,0,16183.291937934,146623.36976454,3505.51416015625,2567.81420898438,3,"SERPINH1","0"
11,0,16612.4113226997,146495.538953993,3934.63354492188,2439.9833984375,3,"THBS1","0"
11,0,16379.3607855903,146563.938856337,3701.5830078125,2508.38330078125,3,"NTRK2","Membrane"
11,0,16633.7865668403,146524.34644911,3956.0087890625,2468.79089355469,3,"WNT7B","0"
11,0,16496.2374945747,146432.45557997,3818.45971679688,2376.90002441406,3,"MMP16","0"
11,0,16420.1027289497,146555.755506727,3742.32495117188,2500.19995117188,3,"TNFSF14","0"
11,0,16432.5111762153,146298.372328016,3754.7333984375,2242.81677246094,3,"PTGDS","0"
11,0,16253.0944281684,146654.972303602,3575.31665039062,2599.41674804688,3,"GDF9","0"
11,0,16537.4574652778,146436.215589735,3859.6796875,2380.66003417969,3,"GADD45B","0"
11,0,16302.8527289497,146532.555555556,3625.07495117188,2477,3,"TYK2","0"
11,0,16450.0006781684,146359.401746962,3772.22290039062,2303.84619140625,3,"FN1","0"
11,0,16282.9904242622,146554.318006727,3605.21264648438,2498.76245117188,3,"HLA-A","0"
11,0,16250.9279242622,146442.855482313,3573.15014648438,2387.29992675781,3,"COL1A1","0"
11,0,16271.6176215278,146432.995619032,3593.83984375,2377.44006347656,3,"PPARG","Membrane"
11,0,16394.4999457465,146259.888929579,3716.72216796875,2204.33337402344,3,"CYTOR","0"
11,0,16543.8529730903,146316.855604384,3866.0751953125,2261.30004882812,3,"COL3A1","0"
11,0,16264.8976508247,146425.675428602,3587.11987304688,2370.11987304688,3,"FN1","0"
11,0,16430.4115668403,146516.155653212,3752.6337890625,2460.60009765625,3,"VCAN","Membrane"
11,0,16482.686469184,146274.528333876,3804.90869140625,2218.97277832031,3,"CD59","0"
11,0,16274.7777777778,146303.000990126,3597,2247.44543457031,3,"GSN","0"
11,0,16432.1774359809,146298.500013563,3754.39965820312,2242.94445800781,3,"WIF1","0"
11,0,16578.1776801215,146620.980482313,3900.39990234375,2565.42492675781,3,"TGFB3","Membrane"
11,0,16395.5780707465,146257.555677626,3717.80029296875,2202.00012207031,3,"IGFBP7","0"
11,0,16395.752875434,146269.58057997,3717.97509765625,2214.02502441406,3,"TPM2","Membrane"
11,0,16484.483344184,146106.449720595,3806.70556640625,2050.89416503906,3,"CSF1R","0"
11,0,16587.538031684,146601.335584852,3909.76025390625,2545.78002929688,3,"ACTA2","Membrane"
11,0,16653.0780707465,146377.486341688,3975.30029296875,2321.93078613281,3,"RGS1","0"
11,0,16372.0600043403,146319.849500868,3694.2822265625,2264.2939453125,3,"COL1A1","0"
11,0,16664.5612250434,146626.755628798,3986.78344726562,2571.20007324219,3,"CLEC4A","0"
11,0,16627.8947211372,146506.938856337,3950.11694335938,2451.38330078125,3,"PPARA","Membrane"
11,0,16609.1608344184,146613.922132704,3931.38305664062,2558.36657714844,3,"IDO1","0"
11,0,16423.3205023872,146253.584120009,3745.54272460938,2198.02856445312,3,"MMP10","0"
11,0,16383.3610297309,146598.688856337,3705.58325195312,2543.13330078125,3,"NegPrb10","0"
11,0,16360.1889105903,146183.677870009,3682.4111328125,2128.12231445312,3,"TNFRSF17","0"
11,0,16488.1889105903,146514.344495985,3810.4111328125,2458.78894042969,3,"PTGES3","0"
11,0,16457.4977484809,146294.555555556,3779.71997070312,2239,3,"IGFBP7","0"
11,0,16378.4525824653,146607.73682997,3700.6748046875,2552.18127441406,3,"CCL4L2","0"
11,0,16506.9206000434,146094.441297743,3829.14282226562,2038.8857421875,3,"IGKC","Nuclear"
11,0,16088.3573676215,146591.595472548,3410.57958984375,2536.03991699219,3,"ELANE","0"
11,0,16514.4777289497,146072.722181532,3836.69995117188,2017.16662597656,3,"RORA","0"
11,0,16326.5180121528,146435.305555556,3648.740234375,2379.75,3,"IFITM3","0"
11,0,16402.5780707465,146651.293104384,3724.80029296875,2595.73754882812,3,"SPINK1","0"
11,0,16457.118109809,146283.915662977,3779.34033203125,2228.36010742188,3,"CDH5","0"
11,0,16346.2243109809,146444.655409071,3668.44653320312,2389.09985351562,3,"C1QA","0"
11,0,16384.3637152778,146554.86976454,3706.5859375,2499.31420898438,3,"IL18","0"
11,0,16380.3334418403,146324.500013563,3702.5556640625,2268.94445800781,3,"COL3A1","0"
