"","cell_id","vertex_x","vertex_y"
"1",67500,4899.825,6407.3
"2",67500,4897.7,6408.575
"3",67500,4897.275,6410.9126
"4",67500,4897.9126,6413.675
"5",67500,4898.975,6415.5874
"6",67500,4900.0376,6416.4375
"7",67500,4901.95,6416.0127
"8",67500,4904.7124,6414.1
"9",67500,4905.775,6412.6123
"10",67500,4905.35,6409.6377
"11",67500,4904.2876,6408.3623
"12",67500,4902.1626,6407.3
"13",67500,4899.825,6407.3
"14",67512,4909.175,6406.875
"15",67512,4907.475,6409.2124
"16",67512,4907.475,6411.125
"17",67512,4908.1123,6412.825
"18",67512,4910.025,6413.8877
"19",67512,4912.575,6413.8877
"20",67512,4913.425,6413.4624
"21",67512,4913.85,6412.825
"22",67512,4913.85,6411.7627
"23",67512,4912.15,6410.275
"24",67512,4911.0874,6408.3623
"25",67512,4909.3877,6406.875
"26",67512,4909.175,6406.875
"27",67515,4911.5127,6404.9624
"28",67515,4910.45,6405.3877
"29",67515,4909.3877,6406.6626
"30",67515,4912.575,6409.2124
"31",67515,4913.2124,6410.9126
"32",67515,4914.0625,6412.4
"33",67515,4915.3374,6411.7627
"34",67515,4914.9126,6411.3374
"35",67515,4916.6123,6409
"36",67515,4916.6123,6407.725
"37",67515,4915.125,6405.6
"38",67515,4913.425,6404.9624
"39",67515,4911.5127,6404.9624
"40",67521,4918.1,6410.9126
"41",67521,4917.0376,6411.125
"42",67521,4916.1875,6411.7627
"43",67521,4914.4873,6414.525
"44",67521,4914.0625,6417.075
"45",67521,4915.55,6418.5625
"46",67521,4916.6123,6418.35
"47",67521,4917.675,6417.2876
"48",67521,4919.5874,6414.1
"49",67521,4919.8,6412.1875
"50",67521,4919.375,6411.3374
"51",67521,4918.3125,6410.9126
"52",67521,4918.1,6410.9126
"53",67527,4920.8623,6410.9126
"54",67527,4920.225,6412.1875
"55",67527,4919.8,6414.95
"56",67527,4918.525,6417.7124
"57",67527,4919.375,6418.1377
"58",67527,4921.075,6417.925
"59",67527,4922.35,6418.775
"60",67527,4923.4126,6418.775
"61",67527,4924.475,6417.925
"62",67527,4924.475,6415.5874
"63",67527,4923.4126,6412.4
"64",67527,4921.925,6410.9126
"65",67527,4920.8623,6410.9126
