"","cell_id","vertex_x","vertex_y"
"1",65044,4904.2876,6418.35
"2",65044,4907.2627,6419.8374
"3",65044,4904.7124,6418.35
"4",65044,4904.2876,6418.35
"5",65051,4919.375,6415.5874
"6",65051,4917.4624,6417.2876
"7",65051,4919.375,6415.5874
"8",65055,4908.9624,6407.725
"9",65055,4907.05,6408.3623
"10",65055,4904.5,6410.0625
"11",65055,4902.375,6412.825
"12",65055,4903.0127,6414.95
"13",65055,4905.5625,6416.8623
"14",65055,4906.4126,6417.075
"15",65055,4910.025,6416.65
"16",65055,4911.3,6415.5874
"17",65055,4911.9375,6414.1
"18",65055,4912.3623,6410.4873
"19",65055,4910.025,6407.725
"20",65055,4908.9624,6407.725
"21",65063,4919.8,6415.1626
"22",65064,4901.3125,6406.875
"23",65064,4900.675,6403.2627
