"","transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
"686",281474976933381,67500,1,"Sox11",4903.7563,6410.495,16.463478,40
"687",281474976933399,67500,0,"Sorcs3",4906.1587,6416.4873,16.182205,40
"688",281474976933448,67515,0,"Plcxd2",4910.634,6405,17.712946,40
"689",281474976933452,67515,1,"Sorcs3",4911.009,6407.764,17.433199,16.685408
"690",281474976933458,67515,1,"Kcnh5",4911.7773,6408.2905,16.962053,23.250202
"691",281474976933472,67512,0,"Kcnh5",4913.9585,6413.692,16.797009,40
"692",281474976933475,67512,0,"Kcnh5",4914.2554,6412.857,17.556608,23.750252
"693",281474976933479,67515,1,"Sema3a",4915.1055,6411.0854,18.468645,40
"694",281474976933494,67521,0,"Sorcs3",4916.9624,6419.7134,18.819561,40
"695",281474976933505,67521,1,"Zfpm2",4918.955,6415.0376,18.638033,22.43886
"696",281474976933508,67521,1,"Plcxd2",4919.1436,6414.8037,15.29454,40
"697",281474976936693,67500,1,"Tmem132d",4900.689,6407.661,17.99303,40
"698",281474976936696,67500,1,"Tmem132d",4901.006,6413.221,19.338907,40
"699",281474976936697,67500,1,"Nrn1",4901.161,6411.3643,16.41074,40
"700",281474976936700,67500,1,"Tmem132d",4901.6084,6416.3057,16.992828,40
"701",281474976936707,67500,0,"Nrn1",4902.445,6402.9165,16.021301,11.722803
"702",281474976936739,67500,1,"Nrn1",4904.5117,6410.8486,16.200844,40
"703",281474976936751,67500,0,"Gli3",4905.2295,6416.862,14.489243,14.936497
"704",281474976936756,67500,0,"Cntnap5b",4905.7554,6414.0566,16.937355,20.511444
"705",281474976936784,67512,0,"Nrn1",4907.88,6414.2554,17.381954,40
"706",281474976936790,67512,0,"Nrn1",4908.3735,6413.673,18.489056,40
"707",281474976936796,67512,1,"Nrn1",4908.809,6408.19,19.469809,34.664646
"708",281474976936808,67512,1,"Nrn1",4910.0947,6414.088,17.469772,40
"709",281474976936815,67515,1,"Nrn1",4910.583,6406.374,17.735424,40
"710",281474976936831,67515,0,"Angpt1",4911.988,6400.383,16.38136,40
"711",281474976936857,67521,0,"Nrn1",4913.866,6414.48,17.075956,40
"712",281474976936861,67521,0,"Gng12",4914.0537,6416.7666,17.13163,40
"713",281474976936876,67521,0,"Tmem132d",4914.873,6419.1353,16.340475,13.638089
"714",281474976936880,67521,1,"Nrn1",4915.027,6416.38,16.813938,40
"715",281474976936888,67515,1,"Nrn1",4915.5586,6408.97,17.719326,40
"716",281474976936896,67515,1,"Nrn1",4916.3296,6407.8267,17.069702,40
"717",281474976936912,67521,1,"Vat1l",4917.263,6416.977,19.333063,23.158466
"718",281474976936923,67521,1,"Nrn1",4918.049,6415.934,17.777973,40
"719",281474976936935,67515,0,"Nrn1",4919.1016,6405.209,14.335199,40
"720",281474976936936,67527,0,"Nrn1",4919.214,6418.788,17.39404,40
"721",281474976936939,67521,1,"Nrn1",4919.3584,6414.1807,16.672901,23.738697
"722",281474976936945,67527,1,"Tmem132d",4919.7227,6415.514,17.60331,40
"723",281474976943237,67500,1,"Lamp5",4901.154,6415.62,16.416004,34.664646
"724",281474976943260,67500,0,"Slc17a7",4902.691,6416.3867,15.419256,40
"725",281474976943275,67500,0,"Slc17a7",4903.5977,6407.9106,17.419554,40
"726",281474976943288,67500,0,"Slc17a7",4904.3877,6414.723,17.244568,40
"727",281474976943289,67500,1,"Lamp5",4904.501,6413.591,18.019104,40
"728",281474976943325,67512,0,"Slc17a7",4906.5254,6408.168,15.959264,40
"729",281474976943359,67512,1,"Vwc2l",4908.1514,6412.3022,17.501688,12.537635
"730",281474976943380,67512,0,"Lamp5",4908.963,6413.8247,17.894073,9.21484
"731",281474976943388,67515,0,"Gad1",4909.2188,6406.343,18.37218,40
"732",281474976943427,67512,1,"Lamp5",4911.398,6411.035,16.491863,40
"733",281474976943433,67521,0,"Aqp4",4911.623,6419.8345,16.097502,12.868783
"734",281474976943436,67515,0,"Slc17a7",4911.7993,6404.0527,16.864555,40
"735",281474976943446,67515,1,"Slc17a7",4912.028,6407.942,17.47052,40
"736",281474976943447,67512,0,"Lamp5",4912.146,6415.6997,14.394811,32.066185
"737",281474976943455,67512,1,"Slc17a7",4912.62,6411.3145,19.902365,40
"738",281474976943458,67521,0,"Lamp5",4912.664,6418.2847,15.364628,17.424667
"739",281474976943461,67512,0,"NegControlProbe_00031",4912.735,6414.2773,17.701822,19.745613
"740",281474976943509,67521,0,"Slc17a7",4915.238,6413.1094,17.055418,23.34259
"741",281474976943520,67515,1,"Slc17a7",4915.922,6410.6973,18.547592,40
"742",281474976943534,67521,1,"Lamp5",4916.293,6418.5005,18.537094,40
"743",281474976943535,67521,1,"Slc17a7",4916.4404,6417.9277,16.92741,40
"744",281474976943544,67521,1,"Npnt",4916.9453,6416.121,14.770686,34.664646
"745",281474976943589,67515,0,"Arhgap12",4918.6626,6404.44,15.429005,14.83653
"746",281474976943602,67521,1,"Slc17a7",4919.2935,6411.9404,16.80754,40
"747",281474976943604,67540,0,"Slc17a7",4919.3984,6400.2456,14.550896,40
"748",281474976943606,67527,0,"Slc17a7",4919.307,6415.505,16.551704,40
"749",281474976951611,67500,1,"Igfbp6",4901.0654,6413.4062,16.638123,40
"750",281474976951613,67500,1,"Igfbp6",4901.1675,6416.039,17.51294,23.711565
"751",281474976951630,67500,1,"Ppp1r1b",4902.304,6410.3296,15.769413,24.607695
"752",281474976951638,67500,1,"Dner",4903.089,6408.134,16.855433,40
"753",281474976951650,67500,1,"Igfbp6",4904.39,6413.0596,18.06846,40
"754",281474976951661,67500,0,"Ntsr2",4905.014,6401.1724,16.46039,25.866034
"755",281474976951667,67500,1,"Tanc1",4905.2344,6412.153,16.12782,40
"756",281474976951730,67512,1,"Plch1",4910.122,6407.5537,18.905014,40
"757",281474976951743,67512,1,"Pdzd2",4910.9863,6413.9087,17.594702,9.613
"758",281474976951745,67512,1,"Prr16",4911.253,6411.0674,19.202045,40
"759",281474976951783,67515,0,"Ppp1r1b",4915.283,6412.3984,15.382981,40
"760",281474976951790,67515,1,"Nell1",4915.683,6407.332,16.701458,40
"761",281474976951796,67515,1,"Nell1",4916.309,6406.828,17.615479,40
"762",281474976951816,67521,1,"Pdzd2",4917.7344,6415.1694,15.893784,9.613
"763",281474976951833,67521,0,"Ppp1r1b",4919.143,6415.6255,15.062054,10.799389
"764",281474976951837,67527,0,"Pdzd2",4919.7085,6414.885,16.173363,22.34074
"765",281474976957733,67500,1,"Gsg1l",4900.078,6407.819,16.905823,40
"766",281474976957735,67500,1,"Hpcal1",4900.1587,6408.9565,17.257475,21.08929
"767",281474976957755,67500,0,"Cabp7",4904.9,6404.984,16.29649,40
"768",281474976957792,67515,0,"Syndig1",4911.5073,6404.4526,15.283565,14.348705
"769",281474976957835,67521,1,"Gsg1l",4918.685,6413.9683,17.707563,40
"770",281474976961126,67500,1,"Gucy1a1",4902.4194,6409.7515,16.280844,40
"771",281474976961133,67500,1,"Neurod6",4902.8066,6411.9243,16.154463,13.431174
"772",281474976961152,67500,0,"Neurod6",4904.117,6415.0303,16.736216,40
"773",281474976961164,67500,0,"Bhlhe40",4904.8643,6406.424,16.28902,23.968115
"774",281474976961171,67500,1,"Dkk3",4905.2915,6413.006,17.756851,9.567414
"775",281474976961181,67500,0,"Dkk3",4905.7295,6407.333,17.387234,40
"776",281474976961199,67512,0,"Mapk4",4906.601,6406.194,18.014,17.848228
"777",281474976961211,67512,0,"Neurod6",4907.5205,6408.962,17.901266,40
"778",281474976961222,67512,0,"Gucy1a1",4908.449,6416.16,15.666031,18.635963
"779",281474976961226,67515,0,"Neurod6",4908.6753,6402.037,15.765981,30.702248
"780",281474976961227,67515,0,"Neurod6",4908.7275,6400.822,15.712364,40
"781",281474976961232,67512,0,"Dkk3",4908.7534,6418.541,16.481977,21.189056
"782",281474976961253,67512,1,"Bhlhe40",4910.7456,6409.9937,17.194098,40
"783",281474976961261,67521,0,"Sema3a",4910.7407,6419.439,16.370838,40
"784",281474976961263,67512,0,"Dkk3",4911.031,6414.91,17.366331,40
"785",281474976961274,67515,1,"Neurod6",4911.4644,6407.711,17.858717,13.431174
"786",281474976961281,67521,0,"Neurod6",4911.63,6417.998,15.268526,30.72406
"787",281474976961300,67521,0,"Dkk3",4912.7524,6417.901,15.583326,40
"788",281474976961312,67515,1,"Dkk3",4913.2266,6405.484,18.369913,40
"789",281474976961313,67515,1,"Dkk3",4913.247,6410.6904,17.192093,40
"790",281474976961319,67512,0,"Dkk3",4913.4873,6414.5464,15.094729,22.061653
"791",281474976961323,67515,0,"Bhlhe40",4913.7544,6404.415,17.887875,40
"792",281474976961327,67521,0,"Dkk3",4913.8687,6418.501,18.20039,40
"793",281474976961332,67515,1,"Dkk3",4914.169,6410.367,16.915724,40
"794",281474976961357,67515,1,"Neurod6",4915.0923,6408.571,16.509182,22.647171
"795",281474976961359,67515,1,"Neurod6",4915.237,6405.982,17.528378,40
"796",281474976961367,67521,1,"Neurod6",4915.543,6413.8164,14.623402,11.96805
"797",281474976961379,67521,1,"Dkk3",4916.2734,6415.005,14.855075,40
"798",281474976961380,67521,0,"Neurod6",4916.3203,6419.161,15.696672,40
