"","cell_id","vertex_x","vertex_y"
"1",65044,4904.2876,6418.35
"2",65044,4901.95,6420.05
"3",65044,4901.525,6421.325
"4",65044,4901.525,6423.45
"5",65044,4902.1626,6424.725
"6",65044,4903.4375,6425.575
"7",65044,4906.4126,6425.3623
"8",65044,4907.6875,6424.3
"9",65044,4908.325,6422.8125
"10",65044,4908.325,6421.75
"11",65044,4907.2627,6419.8374
"12",65044,4904.7124,6418.35
"13",65044,4904.2876,6418.35
"14",65051,4919.375,6415.5874
"15",65051,4917.4624,6417.2876
"16",65051,4915.3374,6423.025
"17",65051,4915.3374,6425.575
"18",65051,4915.7627,6426.85
"19",65051,4916.6123,6428.3374
"20",65051,4918.525,6429.4
"21",65051,4920.225,6429.1875
"22",65051,4921.925,6427.7
"23",65051,4924.05,6422.3877
"24",65051,4922.9873,6418.35
"25",65051,4920.0127,6415.5874
"26",65051,4919.375,6415.5874
"27",65055,4908.9624,6407.725
"28",65055,4907.05,6408.3623
"29",65055,4904.5,6410.0625
"30",65055,4902.375,6412.825
"31",65055,4903.0127,6414.95
"32",65055,4905.5625,6416.8623
"33",65055,4906.4126,6417.075
"34",65055,4910.025,6416.65
"35",65055,4911.3,6415.5874
"36",65055,4911.9375,6414.1
"37",65055,4912.3623,6410.4873
"38",65055,4910.025,6407.725
"39",65055,4908.9624,6407.725
"40",65063,4922.5625,6412.1875
"41",65063,4921.5,6412.6123
"42",65063,4920.65,6413.4624
"43",65063,4919.8,6415.1626
"44",65063,4920.225,6415.375
"45",65063,4921.7124,6416.65
"46",65063,4924.05,6416.4375
"47",65063,4924.6875,6416.225
"48",65063,4926.6,6415.1626
"49",65063,4927.025,6413.675
"50",65063,4926.8125,6413.0376
"51",65063,4925.75,6412.1875
"52",65063,4922.5625,6412.1875
"53",65064,4898.3374,6402.625
"54",65064,4896.2124,6403.9
"55",65064,4894.0874,6408.575
"56",65064,4894.0874,6410.0625
"57",65064,4894.5127,6410.9126
"58",65064,4896.425,6412.1875
"59",65064,4897.7,6412.1875
"60",65064,4899.4,6411.125
"61",65064,4899.6123,6409.425
"62",65064,4901.3125,6406.875
"63",65064,4900.675,6403.2627
"64",65064,4899.4,6402.625
"65",65064,4898.3374,6402.625
