"","transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
"1",281947423113805,65064,1,"Dkk3",4900.172,6407.6943,20.978252,40
"2",281947423113806,65043,0,"Car4",4900.1333,6418.291,19.24709,40
"3",281947423113811,65043,0,"Dkk3",4900.57,6414.2026,17.878952,18.710947
"4",281947423113828,65055,0,"Dkk3",4901.577,6411.6265,18.582111,40
"5",281947423113839,65055,0,"Dkk3",4902.6274,6410.8027,20.817017,40
"6",281947423113857,65044,0,"Dkk3",4904.5874,6418.079,18.557524,22.748009
"7",281947423113859,65055,1,"Cpne8",4904.632,6414.5415,19.316647,40
"8",281947423113875,65055,1,"Lyz2",4906.165,6416.008,21.290375,40
"9",281947423113895,65055,1,"Neurod6",4907.919,6408.3643,17.99631,40
"10",281947423113915,65055,1,"Bhlhe40",4910.4814,6411.2803,19.817965,40
"11",281947423113916,65055,0,"Dkk3",4910.99,6407.3833,17.513775,26.096497
"12",281947423113917,65055,1,"Lyz2",4910.9375,6414.1953,17.60397,30.754309
"13",281947423113925,65055,0,"Dkk3",4911.5957,6416.602,18.147995,40
"14",281947423113928,65055,0,"Dkk3",4912.166,6418.8115,21.068556,40
"15",281947423113952,65055,0,"Dkk3",4914.4717,6402.3115,19.128948,40
"16",281947423113999,65051,1,"Wfs1",4917.709,6419.2227,20.841139,18.265831
"17",281947423114032,65051,0,"Dkk3",4919.7583,6415.4297,17.912214,18.292877
"18",281947423119385,65064,1,"Rims3",4900.702,6407.1655,17.333746,18.72614
"19",281947423119401,65055,0,"Opn3",4901.64,6410.877,20.063345,40
"20",281947423119437,65055,1,"Rims3",4903.6963,6411.2256,17.280855,40
"21",281947423119461,65064,0,"Rims3",4905.5283,6400.784,20.861897,40
"22",281947423119507,65055,0,"Rims3",4907.85,6402.7407,20.049416,18.72614
"23",281947423119523,65055,1,"Rims3",4908.4854,6413.691,18.535366,40
"24",281947423119576,65055,1,"Rasgrf2",4911.074,6412.8027,21.128948,40
"25",281947423119586,65055,0,"Car4",4912.241,6414.3774,17.787756,40
"26",281947423119648,65071,0,"Slc39a12",4915.996,6400.6084,17.20736,40
"27",281947423119650,65055,0,"Rims3",4916.1353,6411.6133,17.144686,20.356205
"28",281947423119661,65055,0,"Rasgrf2",4916.428,6410.0454,19.322706,40
"29",281947423119672,65051,0,"Rims3",4916.9546,6414.058,17.34793,40
"30",281947423119712,65051,1,"Cpne4",4918.826,6417.5366,21.414299,40
"31",281947423119717,65051,1,"Cpne4",4919.2173,6416.2803,20.872341,40
"32",281947423126620,65064,1,"Lamp5",4900.0156,6405.374,18.868942,30.70614
"33",281947423126622,65064,1,"Lamp5",4900.0166,6406.2393,17.786274,40
"34",281947423126626,65064,1,"Lamp5",4900.3374,6407.034,18.134106,40
"35",281947423126634,65043,0,"Lamp5",4900.755,6419.634,20.062302,40
"36",281947423126640,65064,1,"Lamp5",4901.258,6406.268,20.690907,26.573427
"37",281947423126690,65055,1,"Lamp5",4904.1816,6412.1963,19.932352,27.366072
"38",281947423126696,65064,0,"Acsbg1",4904.521,6404.0825,18.620016,40
"39",281947423126700,65055,1,"Trpc4",4904.616,6413.164,17.52676,40
"40",281947423126705,65055,1,"Lamp5",4904.832,6410.5,18.72476,40
"41",281947423126712,65064,0,"Lamp5",4905.549,6403.9917,19.613194,14.262674
"42",281947423126717,65064,0,"Lamp5",4905.7573,6403.0044,20.00193,26.738163
"43",281947423126730,65044,1,"Lamp5",4906.2827,6419.306,17.391182,18.97065
"44",281947423126733,65055,1,"Lamp5",4906.3813,6413.0747,18.779816,12.21625
"45",281947423126734,65064,0,"Cdh6",4906.39,6400.963,19.604406,18.460188
"46",281947423126742,65055,0,"Lamp5",4906.636,6406.193,19.756666,18.061846
"47",281947423126748,65055,1,"Acsbg1",4907.0254,6410.833,20.96367,40
"48",281947423126751,65055,0,"Lamp5",4907.278,6403.7583,17.55386,30.665995
"49",281947423126794,65055,0,"Lamp5",4910.5464,6404.2812,18.842276,15.322815
"50",281947423126840,65055,0,"Trpc4",4913.6953,6410.8564,18.392267,40
"51",281947423126841,65055,0,"Acsbg1",4913.955,6404.9126,17.67315,40
"52",281947423126909,65067,0,"Acsbg1",4917.666,6405.7803,19.277454,29.136839
"53",281947423126922,65051,0,"Acsbg1",4918.0938,6414.589,19.203041,29.136839
